id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;imagem;pdf
id;estado;cidade;bairro;endereco;preco;avaliacao;desconto;descricao;modalidade;link;financiamento;FGTS;https://venda-imoveis.caixa.gov.br/fotos/Fid21.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/id.pdf
8444414301430;PB;JOAO PESSOA;GRAMAME;RUA DARLENE LINHARES MOURA MONTEIRO, N. 21, Apto 105, .;89.575,84;153.000,00;41.46;Apartamento, 0.00 de �rea total, 54.72 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414301430;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441430143021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444414301430.pdf
8444415007039;PB;JOAO PESSOA;GRAMAME;RUA ANTONIO CARNEIRO DE PAIVA, N. 90, Apto 105, LT 355, QD 141;84.306,67;144.000,00;41.46;Apartamento, 0.00 de �rea total, 52.55 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415007039;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441500703921.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444415007039.pdf
8444419168070;PB;JOAO PESSOA;GRAMAME;RUA PEDRO MONTENEGRO DE OLIVEIRA, N. 134, Apto 201, .;83.135,75;142.000,00;41.46;Apartamento, 0.00 de �rea total, 50.64 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419168070;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441916807021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444419168070.pdf
8444419190725;PB;JOAO PESSOA;GRAMAME;RUA FRANCISCO MEDEIROS E SILVA, N. 114, Apto 301, 2 ANDAR;81.964,82;140.000,00;41.46;Apartamento, 0.00 de �rea total, 51.76 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419190725;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441919072521.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444419190725.pdf
8444419491822;PB;JOAO PESSOA;GRAMAME;RUA WIVIANE DE MATOS PONTES DE FREITAS, N. 75, Apto 202, LT 336 QD 68;88.036,77;150.371,19;41.46;Apartamento, 0.00 de �rea total, 53.58 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419491822;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844441949182221.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444419491822.pdf
8444421762595;PB;JOAO PESSOA;GRAMAME;RUA UNIVERSITARIO RICARDO AUGUSTO BARBOSA, N. 142, Apto 304, .;84.505,40;144.339,43;41.46;Apartamento, 0.00 de �rea total, 49.05 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421762595;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442176259521.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444421762595.pdf
8444421813122;PB;JOAO PESSOA;GRAMAME;RUA UNIVERSITARIO RICARDO AUGUSTO BARBOSA, N. 142, Apto 201, .;87.819,45;150.000,00;41.46;Apartamento, 0.00 de �rea total, 51.39 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421813122;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442181312221.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444421813122.pdf
8444421909030;PB;JOAO PESSOA;GRAMAME;RUA FRANCISCO MEDEIROS E SILVA, N. 174, Apto 204, .;81.379,36;139.000,00;41.46;Apartamento, 0.00 de �rea total, 50.05 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421909030;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442190903021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444421909030.pdf
8444422822222;PB;JOAO PESSOA;GRAMAME;RUA JOSINALDO FLORENCIO DA SILVA, N. 179, Apto 402, BLOCO B;85.477,60;146.000,00;41.46;Apartamento, 0.00 de �rea total, 47.17 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422822222;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442282222221.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422822222.pdf
8444422858430;PB;JOAO PESSOA;GRAMAME;RUA JOSINALDO FLORENCIO DA SILVA, N. 179, Apto 106, BL. D .;82.992,92;141.756,04;41.46;Apartamento, 0.00 de �rea total, 42.82 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422858430;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442285843021.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422858430.pdf
8444422893332;PB;JOAO PESSOA;GRAMAME;RUA MARIA DO CARMO MAIA DE ALBUQUERQUE, N. 65, Apto 303, N 65;84.892,14;145.000,00;41.46;Apartamento, 0.00 de �rea total, 58.43 de �rea privativa, 0.00 de �rea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422893332;Não;Sim;https://venda-imoveis.caixa.gov.br/fotos/F844442289333221.jpg;https://venda-imoveis.caixa.gov.br/editais/matricula/PB/8444422893332.pdf
